iteration,norm,normB
492,2.1169313260817058e-16,3.1031676915590914e-17
493,1.391243901732968e-16,3.925231146709438e-17
494,1.4121757228129297e-16,1.3877787807814457e-17
495,1.1338246063119639e-16,5.003707553108401e-17
496,2.1668772505855793e-16,2.7755575615628914e-17
497,1.2605126751125787e-16,3.1031676915590914e-17
498,6.930214858729611e-17,0.0
499,6.825205530228834e-17,2.7755575615628914e-17
500,2.8345615157799096e-17,4.163336342344337e-17
501,2.2979030092049016e-16,5.003707553108401e-17
502,1.980549829951254e-16,5.551115123125783e-17
503,1.5810745973874446e-16,3.1031676915590914e-17
504,1.1374019759220412e-16,5.003707553108401e-17
505,9.429941497750895e-17,4.163336342344337e-17
506,1.0412676761425237e-16,4.8074067159589095e-17
507,2.1668772505855793e-16,2.7755575615628914e-17
508,1.2605126751125787e-16,3.1031676915590914e-17
509,6.930214858729611e-17,0.0
510,6.825205530228834e-17,2.7755575615628914e-17
511,2.8345615157799096e-17,4.163336342344337e-17
512,2.2979030092049016e-16,5.003707553108401e-17
513,1.980549829951254e-16,5.551115123125783e-17
514,1.5810745973874446e-16,3.1031676915590914e-17
515,1.1374019759220412e-16,5.003707553108401e-17
516,9.429941497750895e-17,4.163336342344337e-17
517,1.0412676761425237e-16,4.8074067159589095e-17
518,2.1668772505855793e-16,2.7755575615628914e-17
519,1.2605126751125787e-16,3.1031676915590914e-17
520,6.930214858729611e-17,0.0
521,6.825205530228834e-17,2.7755575615628914e-17
522,2.8345615157799096e-17,4.163336342344337e-17
523,2.2979030092049016e-16,5.003707553108401e-17
524,1.980549829951254e-16,5.551115123125783e-17
525,1.5810745973874446e-16,3.1031676915590914e-17
526,1.1374019759220412e-16,5.003707553108401e-17
527,9.429941497750895e-17,4.163336342344337e-17
528,1.0412676761425237e-16,4.8074067159589095e-17
529,2.1668772505855793e-16,2.7755575615628914e-17
530,1.2605126751125787e-16,3.1031676915590914e-17
531,6.930214858729611e-17,0.0
532,6.825205530228834e-17,2.7755575615628914e-17
533,2.8345615157799096e-17,4.163336342344337e-17
534,2.2979030092049016e-16,5.003707553108401e-17
535,1.980549829951254e-16,5.551115123125783e-17
536,1.5810745973874446e-16,3.1031676915590914e-17
537,1.1374019759220412e-16,5.003707553108401e-17
538,9.429941497750895e-17,4.163336342344337e-17
539,1.0412676761425237e-16,4.8074067159589095e-17
540,2.1668772505855793e-16,2.7755575615628914e-17
541,1.2605126751125787e-16,3.1031676915590914e-17
542,6.930214858729611e-17,0.0
543,6.825205530228834e-17,2.7755575615628914e-17
544,2.8345615157799096e-17,4.163336342344337e-17
545,2.2979030092049016e-16,5.003707553108401e-17
546,1.980549829951254e-16,5.551115123125783e-17
547,1.5810745973874446e-16,3.1031676915590914e-17
548,1.1374019759220412e-16,5.003707553108401e-17
549,9.429941497750895e-17,4.163336342344337e-17
550,1.0412676761425237e-16,4.8074067159589095e-17
551,2.1668772505855793e-16,2.7755575615628914e-17
552,1.2605126751125787e-16,3.1031676915590914e-17
553,6.930214858729611e-17,0.0
554,6.825205530228834e-17,2.7755575615628914e-17
555,2.8345615157799096e-17,4.163336342344337e-17
556,2.2979030092049016e-16,5.003707553108401e-17
557,1.980549829951254e-16,5.551115123125783e-17
558,1.5810745973874446e-16,3.1031676915590914e-17
559,1.1374019759220412e-16,5.003707553108401e-17
560,9.429941497750895e-17,4.163336342344337e-17
561,1.0412676761425237e-16,4.8074067159589095e-17
562,2.1668772505855793e-16,2.7755575615628914e-17
563,1.2605126751125787e-16,3.1031676915590914e-17
564,6.930214858729611e-17,0.0
565,6.825205530228834e-17,2.7755575615628914e-17
566,2.8345615157799096e-17,4.163336342344337e-17
567,2.2979030092049016e-16,5.003707553108401e-17
568,1.980549829951254e-16,5.551115123125783e-17
